17
843 1986
365 584 52
350 619 212
609 552 970
507 591 819
35 672 386
190 166 250
812 158 271
746 78 402
706 30 470
131 809 935
684 596 441
390 829 924
730 320 596
653 441 179
836 571 803
471 591 883
517 490 100
328 148 695
159 41 433
171 656 25
719 637 79
3 366 454
237 241 601
819 574 451
152 730 158
770 164 394
220 742 312
501 732 5
466 28 794
599 82 169
542 689 320
740 616 33
834 406 860
255 337 337
435 300 649
46 163 450
191 279 934
677 533 891
369 209 545
680 659 903
150 608 384
424 832 325
841 307 254
49 630 939
495 567 850
399 682 63
794 109 418
379 253 773
510 405 765
618 492 63
202 77 835
427 669 253
105 588 502
645 456 699
415 35 743
166 479 653
247 618 725
700 331 745
489 86 541
30 214 435
202 26 744
588 240 995
267 413 373
112 822 429
746 636 807
655 72 710
798 662 382
737 250 586
582 497 959
245 708 590
142 782 116
824 630 248
271 121 30
645 55 277
73 632 107
629 586 636
729 229 304
274 153 354
813 808 54
43 681 824
542 195 232
468 225 638
435 316 489
796 418 987
579 135 248
430 787 331
221 679 814
798 148 992
472 264 276
63 277 175
321 411 849
644 785 448
143 272 725
541 113 396
673 678 40
161 717 89
817 336 475
739 78 790
684 53 803
613 724 414
31 522 810
294 292 771
617 352 662
232 13 70
708 535 522
50 477 349
242 171 249
639 127 845
198 561 739
326 76 693
572 520 524
329 190 105
78 641 707
195 558 931
749 108 294
153 100 292
744 332 194
445 119 354
564 211 922
139 379 418
543 843 655
6 286 72
300 246 920
693 459 995
360 788 142
250 492 476
509 303 241
779 275 410
643 678 921
618 369 760
474 443 233
667 403 437
379 725 170
86 658 421
123 406 94
342 820 663
395 315 622
767 276 688
319 325 776
368 249 318
120 141 201
368 425 821
789 191 216
532 232 653
646 107 243
311 642 645
268 84 458
16 179 612
380 38 550
838 212 641
182 69 597
217 511 27
86 485 121
92 336 789
115 680 717
826 123 484
142 449 737
255 649 25
462 721 327
614 318 722
99 676 720
551 598 104
49 89 143
530 138 502
309 128 100
509 769 669
426 54 266
48 813 837
90 262 288
637 290 545
364 653 345
366 804 843
572 822 415
610 18 463
140 327 868
43 31 112
779 761 247
179 594 936
234 611 378
708 735 15
197 320 106
610 548 328
272 564 672
353 244 673
449 116 712
268 787 448
266 41 717
590 726 633
371 202 41
128 50 639
680 235 39
692 76 997
10 451 275
509 507 129
802 481 686
224 258 135
590 686 851
702 708 90
341 822 442
195 263 242
322 741 660
763 35 993
389 266 497
778 575 492
697 552 259
535 121 371
444 475 769
530 825 50
812 489 918
679 434 521
23 262 532
674 569 803
657 385 917
809 164 556
89 613 353
313 329 219
152 39 615
171 717 732
395 401 979
243 566 381
616 674 566
515 647 32
302 324 838
797 11 25
202 452 928
403 827 16
577 345 848
775 394 528
479 373 413
352 529 914
392 188 123
199 331 470
651 818 16
361 435 813
735 478 484
4 601 297
801 180 66
573 361 285
246 153 701
671 465 695
118 775 54
1 759 170
150 634 916
396 543 144
684 602 22
570 561 828
352 301 761
340 504 399
758 636 631
812 661 81
84 437 919
309 206 25
610 388 513
258 115 808
169 51 189
212 54 416
332 89 937
653 136 242
325 489 10
357 701 328
186 727 383
11 429 362
129 62 828
579 791 766
532 366 59
143 168 294
628 337 470
33 682 195
538 214 633
699 260 545
738 362 443
319 801 967
252 175 233
11 104 768
680 62 545
343 759 282
342 607 198
605 88 581
636 603 213
72 694 177
489 801 978
184 459 792
280 94 468
703 184 347
20 170 872
534 123 712
60 438 950
813 522 594
800 587 159
765 255 360
323 550 323
508 480 903
703 829 950
607 177 86
434 90 913
97 639 627
804 128 822
398 813 50
24 787 536
21 678 166
296 89 835
162 681 723
297 10 411
609 94 526
764 329 543
739 92 645
176 726 387
55 397 364
805 226 524
624 637 322
737 68 227
639 57 649
481 110 989
299 759 138
748 214 604
41 107 289
622 369 590
208 568 711
557 52 773
494 376 543
264 52 126
604 657 215
553 304 117
506 541 11
795 728 966
465 344 981
808 125 937
341 7 85
414 434 978
508 377 964
814 562 323
453 492 882
221 660 564
424 70 40
189 301 482
386 813 61
301 593 699
767 435 325
763 608 415
354 737 868
295 592 931
790 176 658
802 423 402
692 184 138
666 558 399
59 449 803
502 373 741
732 234 919
769 163 610
213 491 823
224 484 950
450 576 623
774 317 927
151 194 240
370 775 302
165 744 510
320 132 380
67 180 810
549 349 399
458 176 664
750 1 443
22 678 533
95 45 162
810 270 705
580 303 926
742 441 843
596 399 554
63 638 665
364 279 754
292 431 181
661 495 615
497 27 811
335 124 705
692 788 803
704 248 679
492 42 565
96 77 5
300 776 263
403 428 604
90 524 686
479 709 721
113 9 612
385 90 385
193 675 348
139 51 937
312 399 523
134 44 415
701 505 372
422 163 510
565 167 701
332 480 130
148 702 777
577 722 916
189 710 833
145 130 164
505 561 346
818 738 764
674 113 778
36 769 4
569 253 99
98 106 416
186 562 128
717 34 586
188 296 734
565 802 528
418 89 405
630 22 973
257 125 621
383 177 504
24 818 461
472 385 331
658 504 255
714 186 451
111 19 731
549 57 546
115 700 286
113 820 158
351 552 443
138 380 860
672 630 231
457 205 149
181 214 11
732 683 80
633 736 687
135 259 623
556 31 2
392 560 588
650 88 1
586 636 44
781 754 831
83 716 653
121 212 742
832 634 186
119 438 227
107 168 156
217 344 155
634 636 35
733 412 767
482 335 388
711 184 484
71 412 476
402 650 986
453 211 524
77 536 763
682 754 540
582 583 10
250 514 504
117 5 275
644 587 860
74 345 78
592 685 714
289 280 808
107 651 420
231 327 793
76 266 226
483 187 720
369 260 964
109 220 70
72 574 982
496 71 798
504 242 38
727 377 783
639 320 364
85 176 144
654 468 549
633 398 89
83 834 911
567 362 3
107 684 190
150 703 635
724 261 128
544 599 700
320 212 631
210 235 398
48 540 395
215 470 638
362 394 9
210 816 996
202 268 796
416 220 604
558 508 9
457 156 475
772 650 337
226 778 480
628 226 991
843 614 79
328 175 76
20 257 915
228 783 563
387 690 872
81 446 450
758 712 383
484 215 622
833 87 56
590 185 402
189 462 823
792 224 513
434 627 673
398 147 459
295 269 925
228 718 793
73 814 983
305 225 123
760 705 656
167 440 346
691 626 689
313 21 868
643 46 470
217 403 504
382 738 938
488 203 681
202 42 70
379 321 435
68 131 273
489 744 324
776 538 24
630 201 253
273 405 886
205 295 702
230 282 155
262 588 461
444 589 399
317 438 524
182 15 8
134 65 884
447 425 659
255 715 89
206 136 466
474 551 9
811 393 275
475 287 148
283 598 145
233 593 860
325 99 222
146 682 703
340 16 812
46 148 890
463 542 374
601 33 551
51 717 502
412 41 551
90 121 652
778 224 816
594 329 997
301 223 510
439 210 582
480 475 884
158 90 922
424 756 872
358 315 98
760 281 731
294 583 870
96 182 428
226 138 558
472 579 486
577 164 699
532 530 7
106 511 314
416 541 593
814 332 583
209 225 665
833 181 209
77 285 571
730 752 209
585 136 410
471 57 484
253 474 954
1 67 268
768 647 819
145 768 131
581 25 147
749 667 406
586 640 686
129 379 637
459 2 468
507 74 995
752 146 433
709 202 94
835 237 257
623 415 360
282 335 929
834 38 265
204 607 30
68 360 433
288 29 623
269 560 51
784 491 683
660 562 242
576 402 716
710 68 977
781 132 954
15 679 996
105 350 426
236 551 881
273 827 701
90 440 707
369 498 710
633 510 417
556 134 544
131 63 797
516 597 812
57 381 364
403 24 711
421 536 707
308 821 226
506 436 504
510 722 838
816 442 354
591 199 777
2 636 732
14 237 540
665 260 934
658 117 434
450 471 328
17 804 292
90 384 3
622 717 25
610 779 165
373 684 425
706 462 605
492 142 72
125 835 940
277 364 671
301 569 838
20 410 822
180 728 319
424 547 658
146 202 165
25 402 201
114 624 554
487 824 497
257 53 497
71 333 656
332 333 753
28 425 843
57 282 671
716 250 112
426 201 165
248 585 26
671 121 220
119 691 453
20 74 322
828 281 897
118 548 318
507 620 307
117 484 544
548 751 291
7 624 480
53 761 437
432 451 987
318 709 432
702 331 852
257 228 102
277 180 621
364 840 919
431 276 428
595 152 207
656 723 805
382 379 814
580 137 663
723 742 19
330 585 918
275 396 698
352 272 830
686 520 140
23 815 650
703 48 916
293 492 157
395 293 853
100 564 473
603 198 965
266 39 119
481 780 490
590 12 727
708 109 457
802 524 617
56 403 685
71 357 531
428 55 24
129 723 185
581 347 856
524 602 760
721 430 256
606 794 736
430 598 365
437 436 611
448 411 109
505 102 242
62 558 498
300 257 754
439 91 80
533 341 592
497 384 842
169 65 230
715 522 423
444 228 406
292 258 542
457 661 83
123 354 438
111 420 784
808 645 298
479 818 55
718 101 139
176 834 523
418 676 80
766 644 62
225 467 26
395 432 1000
579 525 8
582 662 74
93 321 902
102 88 237
388 257 951
437 463 637
337 93 347
567 56 764
82 374 298
233 3 138
700 584 777
461 754 490
433 697 24
16 334 34
519 364 60
426 516 359
209 461 647
810 666 2
304 434 9
651 202 421
392 149 426
744 297 395
591 342 687
451 501 566
525 304 877
574 249 16
25 697 721
768 183 419
598 662 25
357 277 724
573 553 212
231 558 580
769 200 939
100 329 505
812 666 143
224 423 606
158 425 4
511 612 10
21 306 709
301 719 884
208 351 21
562 172 713
70 474 642
616 138 768
620 123 235
740 613 546
668 75 108
556 40 660
639 55 845
315 470 495
416 695 790
271 132 969
168 454 373
698 51 967
249 561 635
705 103 717
526 346 143
823 330 914
80 678 698
159 371 198
5 270 583
664 532 776
554 431 815
488 684 505
383 490 270
596 583 613
85 646 670
590 472 616
49 98 336
249 45 530
548 108 384
639 9 392
312 73 8
8 458 653
106 312 65
529 173 844
69 115 434
187 279 565
377 381 309
735 287 236
473 137 427
825 118 643
53 259 16
71 434 332
202 800 320
828 329 776
52 731 801
74 454 674
605 282 916
501 593 250
457 590 914
185 550 417
716 843 298
634 621 576
123 117 189
322 541 911
454 563 920
431 406 213
303 512 634
296 633 637
252 308 902
550 583 717
390 781 318
692 158 801
683 762 351
651 57 948
753 420 647
766 22 377
331 704 838
228 143 123
203 156 411
734 336 801
300 506 672
407 63 492
254 306 614
498 45 7
822 72 304
707 226 730
50 415 447
610 368 276
553 283 297
667 78 556
277 396 30
797 515 460
16 44 304
253 693 28
364 454 596
385 282 459
585 721 723
788 85 873
741 812 98
598 811 697
35 806 62
5 447 354
378 453 144
703 384 328
756 773 243
348 131 833
425 532 749
471 680 294
324 526 839
570 835 72
378 187 660
346 667 867
137 472 284
465 148 483
563 701 128
63 338 692
100 562 727
250 595 81
710 615 566
162 147 388
781 751 704
356 379 26
265 839 984
664 403 844
316 165 562
704 356 634
794 352 292
350 444 855
178 725 955
98 635 732
179 235 831
430 271 884
186 202 650
96 286 250
219 332 810
277 785 664
419 445 322
311 127 705
98 349 671
359 224 366
511 546 214
210 477 693
670 386 983
326 585 373
826 768 582
140 272 311
43 130 3
149 651 27
267 749 159
102 252 941
785 689 301
214 209 107
100 382 361
699 837 991
533 321 828
586 9 573
653 36 588
29 655 200
587 709 213
479 788 353
385 191 387
264 478 614
411 831 502
559 258 89
812 623 470
600 515 153
371 435 194
792 97 225
547 363 314
741 404 189
611 509 729
160 52 236
53 787 146
452 620 426
59 47 81
434 350 787
785 815 8
653 748 383
723 16 48
346 608 480
218 472 397
647 470 596
441 776 231
361 100 13
291 552 719
133 692 164
303 419 290
560 505 575
770 728 494
236 674 669
166 565 929
221 601 80
152 448 853
52 827 797
165 93 943
834 721 604
209 741 393
606 46 857
729 817 994
796 412 977
745 693 550
733 89 637
803 465 566
716 800 652
586 33 963
307 755 221
771 454 359
418 359 990
615 614 563
839 706 354
598 96 943
487 433 863
194 789 881
85 734 97
235 421 907
81 443 449
460 472 345
700 116 329
132 136 370
277 546 782
539 692 147
835 664 302
513 441 139
662 626 80
683 136 596
138 409 273
471 288 816
323 71 193
214 12 284
477 175 568
125 519 678
745 572 255
194 690 576
603 645 299
192 304 309
630 677 943
795 203 572
31 564 107
764 268 453
291 160 560
331 438 537
481 784 585
380 276 573
607 164 637
262 148 847
528 61 893
510 232 489
768 26 68
550 411 506
12 636 279
4 648 671
448 709 525
628 335 165
246 828 94
717 221 643
5 368 284
598 156 829
783 102 308
73 754 471
362 598 538
190 287 838
751 767 310
765 402 86
228 362 606
120 697 387
527 587 155
302 272 579
664 473 529
447 337 323
535 623 975
238 558 255
461 439 613
274 100 140
67 79 432
204 576 736
33 686 671
339 300 201
90 714 714
271 301 320
472 477 733
811 744 285
49 431 855
366 44 54
572 365 722
228 258 112
703 12 356
56 160 980
369 145 351
604 199 580
224 372 794
321 688 74
806 1731
557 736 859
427 91 178
298 9 622
122 164 482
74 279 987
627 134 47
278 205 70
90 792 548
195 137 228
459 507 202
464 167 174
766 687 283
252 328 599
9 765 567
515 503 827
659 257 594
307 168 499
569 260 687
71 14 444
454 439 557
516 41 306
510 406 14
654 20 860
85 597 98
670 290 713
339 314 825
252 647 569
668 328 286
259 310 691
24 62 757
728 255 737
608 101 705
109 445 371
625 477 832
653 596 598
488 476 833
98 62 361
480 182 528
718 569 563
53 283 789
460 600 479
374 219 505
612 49 974
613 698 903
375 758 804
270 273 967
431 768 821
73 502 795
333 326 260
457 113 422
748 215 372
663 773 747
751 141 477
678 540 781
507 706 625
500 790 84
669 481 332
300 271 682
161 713 942
138 171 769
548 492 40
740 377 449
612 344 911
697 610 229
689 621 28
760 433 655
436 348 29
453 462 896
194 408 257
287 781 732
123 470 807
45 803 519
543 300 990
127 724 674
242 641 985
349 321 238
692 652 271
765 80 359
159 406 636
748 153 232
48 753 466
758 6 867
667 432 44
526 100 71
723 704 428
637 644 361
711 628 439
131 488 60
189 771 284
70 353 464
556 576 34
616 525 233
286 508 261
8 552 275
89 631 847
319 372 551
501 398 797
400 560 664
781 723 70
542 161 118
485 259 616
145 313 819
161 242 791
452 449 759
231 728 948
718 345 82
414 690 529
195 342 922
667 213 387
267 648 357
263 200 215
91 111 787
133 427 889
146 450 593
118 585 483
8 40 551
485 717 414
430 40 668
13 703 234
514 67 105
231 127 316
456 755 598
99 335 996
566 141 138
803 331 157
283 432 963
407 657 917
36 249 432
797 115 660
59 218 976
317 800 9
236 140 281
795 602 393
398 572 705
741 476 875
762 99 911
286 434 234
281 307 643
781 461 263
271 423 893
612 134 732
667 794 752
119 113 457
283 699 116
387 191 454
550 661 457
544 307 836
584 170 814
765 325 951
790 317 7
346 383 249
487 459 328
265 151 58
366 607 418
44 84 396
62 525 179
620 133 419
593 806 617
333 264 517
17 777 795
655 367 529
698 95 695
557 605 853
336 134 420
297 546 544
481 16 534
672 645 118
454 472 159
729 521 525
366 632 185
349 772 559
769 501 229
493 742 87
363 359 392
711 731 360
400 492 766
626 219 646
438 28 95
579 447 312
353 349 262
618 226 709
247 511 666
136 411 678
557 126 410
761 16 201
558 375 294
246 374 114
423 739 193
603 428 124
729 426 878
251 4 565
93 505 911
198 758 835
495 277 235
162 589 802
451 532 472
779 328 99
185 377 867
318 112 390
497 606 745
375 319 106
62 495 531
387 204 26
140 427 418
190 447 39
752 739 522
465 82 384
360 15 873
138 768 262
309 313 229
586 385 784
8 416 86
722 192 908
148 192 647
145 801 471
95 698 97
804 379 435
796 26 805
662 261 233
524 729 329
102 695 140
509 532 799
260 423 505
2 555 497
272 450 949
397 84 784
642 24 184
510 560 413
143 205 831
670 505 151
101 495 218
258 670 680
664 674 101
654 790 687
276 795 454
127 577 169
654 433 574
20 346 757
153 579 137
298 606 675
792 511 823
234 75 431
706 416 156
645 594 716
464 264 464
76 251 866
469 328 36
4 228 388
412 651 105
805 326 676
613 674 671
509 55 71
48 339 692
701 625 488
324 717 688
148 493 58
123 441 335
14 723 30
236 75 805
264 579 642
70 673 209
474 110 919
365 502 93
303 537 512
21 15 746
598 423 936
531 280 453
476 760 913
495 522 25
572 214 477
419 138 511
578 220 525
51 697 88
587 163 973
160 624 220
154 237 115
80 431 38
736 101 367
465 160 288
754 294 262
49 564 266
134 163 266
188 125 633
512 332 500
640 168 817
540 286 706
679 386 696
294 726 288
117 132 856
33 742 925
100 558 497
488 774 792
407 640 91
514 558 319
49 714 734
774 25 167
184 376 765
360 438 821
174 189 401
140 517 201
59 355 914
321 137 467
160 368 224
578 154 271
684 10 164
590 575 158
538 42 18
122 247 87
488 236 229
586 515 919
765 766 614
124 513 904
597 207 398
549 206 342
68 620 815
272 477 884
244 392 460
481 791 334
739 550 940
512 499 364
336 199 416
363 44 472
733 323 463
394 476 989
622 284 904
645 718 361
318 400 775
760 642 196
61 560 857
709 170 350
331 793 367
521 5 249
803 35 811
454 690 483
288 553 751
374 16 924
805 324 825
77 54 563
456 33 122
20 1 645
700 214 621
184 267 307
298 385 242
692 367 139
